readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
e5521308-eab4-4625-8de1-75feb0f047ac	unclassified	0	0	0	0	2544	1
1c4d030d-e95f-474d-8b2c-3e29eff06ae7	unclassified	0	0	0	0	6788	1
b5bb3fc2-35b9-40af-b572-525d53c8ba16	unclassified	0	0	0	0	1325	1
3fe1ee40-626a-4be8-bf2b-57d86adc1593	unclassified	0	0	0	0	1755	1
bf9a3e8b-9c51-4e86-948a-860cb2d94d8c	unclassified	0	0	0	0	541	1
6c3fece1-2f5c-4989-8963-7d4bb27e06ca	unclassified	0	0	0	0	548	1
987ff902-d9fc-427d-9a2c-82cdd2c5d851	unclassified	0	0	0	0	288	1
71d6a001-59d3-479d-932f-ea35220a7f97	unclassified	0	0	0	0	268	1
d689c700-c02f-4418-8f0b-e7e86ab960ac	unclassified	0	0	0	0	649	1
d4bb83c2-959a-485a-ac2a-707abb105ba3	unclassified	0	0	0	0	250	1
9ab31755-81cd-4332-b576-ede5dd9c8d4f	unclassified	0	0	0	0	1267	1
50bfdff3-7b2c-4ed3-9add-1bffe63158b4	unclassified	0	0	0	0	1102	1
f4e35489-5b56-4e4e-ae69-e28d1e382a38	unclassified	0	0	0	0	997	1
b86c5cbd-76e1-49ba-9c8e-b1d9d21b5b31	unclassified	0	0	0	0	552	1
368af57d-3295-4c5e-a556-556c497a8bf3	NC_072351.1	37727	64	0	23	1228	1
94931e4c-9f3f-4723-a6cc-6f6105f9a15d	unclassified	0	0	0	0	979	1
f435b9c3-428a-4f1f-85ba-f534f0bb1137	unclassified	0	0	0	0	3607	1
3dd8e8e8-d73d-4b92-98a4-7cdeee6fd635	unclassified	0	0	0	0	432	1
b64218e2-a204-4065-aecb-4e3ec2af1eea	unclassified	0	0	0	0	409	1
32800249-41fc-46e2-ba72-758b4bb3981c	unclassified	0	0	0	0	875	1
51e3be4d-b81f-47a1-9b3d-a6ee3b2b740b	unclassified	0	0	0	0	1076	1
4b2decfe-ec22-4389-aec4-c323e0e4b0d3	unclassified	0	0	0	0	10624	1
330aa783-69b2-4756-98aa-495653c2a655	unclassified	0	0	0	0	330	1
9c908314-9220-4047-a425-e4eb58057835	unclassified	0	0	0	0	270	1
c7c94a73-dc15-4555-b393-07b9212ab6d6	unclassified	0	0	0	0	298	1
40a3efe2-d872-4447-a0f5-e15ce76c92e0	unclassified	0	0	0	0	235	1
1c2ff823-45ee-4194-aada-fe1bb21ccebe	unclassified	0	0	0	0	1721	1
05fb5c19-b7bf-435b-826f-38d8f2f239c5	unclassified	0	0	0	0	301	1
8f17e79b-c3e2-46eb-bbe7-0af0ef074186	unclassified	0	0	0	0	4127	1
7b615a01-b7d3-498b-8a7b-4a4a4e37a72e	unclassified	0	0	0	0	558	1
f9639f96-3915-48bb-a5a3-e2c90c3fe4e4	unclassified	0	0	0	0	4906	1
912c2902-3198-4af6-912e-7740f25ea1cf	unclassified	0	0	0	0	828	1
e5bbc1b2-6d67-42a1-9e8a-bee5f2cdad44	unclassified	0	0	0	0	616	1
4d8e6353-6de0-4866-881b-539c1041e3fc	unclassified	0	0	0	0	3228	1
1548e136-4371-44df-89bb-6d5de43d0340	unclassified	0	0	0	0	4392	1
a9ed1f3e-9960-4aa0-ae2b-2a3e11dc3baa	unclassified	0	0	0	0	346	1
0c573c3a-b8df-4e71-a8b9-6e64ee013352	unclassified	0	0	0	0	385	1
de631928-9e4f-4744-8bb8-5a7d07b6622d	unclassified	0	0	0	0	2008	1
297f81c2-6378-4781-bb4b-ee2fc299c594	unclassified	0	0	0	0	3811	1
3b766fa2-3874-427f-85f6-b1b318a0a59d	unclassified	0	0	0	0	4378	1
759652be-8c4c-4db2-9b48-4cd278a8efa1	unclassified	0	0	0	0	389	1
9cf079f5-0308-4ec0-a9d0-975117fa0d9b	unclassified	0	0	0	0	334	1
5f3d7345-6c83-4135-83f3-d04b52a651a5	unclassified	0	0	0	0	848	1
f0d99eed-ba4f-4a98-b4d7-470ba3c75b4f	unclassified	0	0	0	0	4215	1
15ccd1f0-7aa4-4d9c-8885-de09aa6b3c59	unclassified	0	0	0	0	854	1
e7027a31-e57c-4bcb-8d2e-c3b440335a5d	unclassified	0	0	0	0	1263	1
517edb0a-8d5f-459d-8a18-a27ad3954604	unclassified	0	0	0	0	243	1
c8197abc-3c17-48f4-94da-06dd09bb8aa8	unclassified	0	0	0	0	1247	1
002f1ae3-e00e-4ecf-9b1c-33db44568017	unclassified	0	0	0	0	1211	1
9108a5ae-4f30-4406-b9f4-d69b891a86c4	unclassified	0	0	0	0	716	1
84e334d6-01eb-4645-b783-433f3183a208	unclassified	0	0	0	0	254	1
1be49d06-3682-42a7-8cbb-62bdd6d9cd8b	unclassified	0	0	0	0	2429	1
e01e492c-e75a-453b-9790-c326c0330ca2	unclassified	0	0	0	0	989	1
803e186f-540a-4612-88dc-1725634078e4	unclassified	0	0	0	0	251	1
953c7008-7493-48d6-ade0-f1c522f5a569	unclassified	0	0	0	0	758	1
be191805-38ad-4a92-92c6-b11aa99b596a	unclassified	0	0	0	0	305	1
a09ad3c2-a6d8-4470-a1ea-9da126e1fcab	unclassified	0	0	0	0	5825	1
754a4577-d4ec-4e07-b4ef-d4e6baf055ce	unclassified	0	0	0	0	3673	1
ce331002-f0fe-4333-983c-16af0fc43ec8	unclassified	0	0	0	0	499	1
6d7376b3-1e81-4eb1-a48f-b0f021381513	unclassified	0	0	0	0	4631	1
a6308403-170e-4c1a-8d4c-7b19cd90598a	unclassified	0	0	0	0	3267	1
871cb878-2c5d-4c0e-9e19-459c4edc1339	unclassified	0	0	0	0	5188	1
9cda74ff-e4e7-49dd-8831-6ce80715fbcc	unclassified	0	0	0	0	173	1
ee0428d8-67e5-4e2c-a30a-fa58bfbc8050	unclassified	0	0	0	0	637	1
622bbb1a-970f-49e1-87ff-b994b425c77e	unclassified	0	0	0	0	1361	1
c3a6de99-d276-4b4d-9f5d-7029231c824f	unclassified	0	0	0	0	5068	1
a9d7ca8b-9aa5-404f-945c-3e4c3f0cdad8	unclassified	0	0	0	0	392	1
e226628d-0930-4f9c-b2e8-2acc941f9712	unclassified	0	0	0	0	462	1
541b959b-e778-46d0-a17f-77161d282ac0	unclassified	0	0	0	0	1861	1
ffecc86f-ef3a-4306-a713-9a3dd2bba20a	unclassified	0	0	0	0	310	1
756baa15-2ae8-4a76-8ba8-eb8d6d4d2bc5	unclassified	0	0	0	0	231	1
8ec34bb0-b7c7-4b5c-8c1e-db2b0d617bd8	unclassified	0	0	0	0	360	1
d82a5837-0a32-4085-9167-793260505681	unclassified	0	0	0	0	353	1
20cbcbf8-595e-4802-be6e-0b3aaaa25753	unclassified	0	0	0	0	636	1
05910880-85c9-4fcc-b60c-b626a2c35305	unclassified	0	0	0	0	228	1
3d0f706b-f078-4a25-af1c-8c4df00fed7e	unclassified	0	0	0	0	163	1
41d96ea1-1d53-46bc-8770-253132b2bf7a	unclassified	0	0	0	0	2716	1
c5150331-227b-41a9-b2d6-ae6c48561465	unclassified	0	0	0	0	308	1
dcdb7b52-1e38-4f00-b6b6-40ee1cbabbeb	unclassified	0	0	0	0	8473	1
2a7db786-169e-45ed-bb7b-174bc741a153	unclassified	0	0	0	0	551	1
f792a3ef-0a97-4e74-8a5c-06c1c27b6ab1	unclassified	0	0	0	0	1008	1
bf282230-d0b3-4058-8e51-94e87a8c53b1	unclassified	0	0	0	0	284	1
3535f43d-6ffc-4ecf-834c-baad18d74322	unclassified	0	0	0	0	2630	1
fcc2cf0e-542c-4c78-bedb-7a1721d23d0c	unclassified	0	0	0	0	771	1
7e5f436b-afcd-4701-a1f0-0d440712bc43	unclassified	0	0	0	0	261	1
1d527162-734a-4770-916d-70c89da8bd94	unclassified	0	0	0	0	292	1
3b518728-1698-488d-931c-90e74e469214	unclassified	0	0	0	0	589	1
1c390ac3-d854-486e-93d0-ece9de0626e8	unclassified	0	0	0	0	3744	1
b29d7303-c445-42e0-b974-b8ebe67bd4e7	unclassified	0	0	0	0	394	1
1c29deff-29e3-4f5b-8982-b7f9d0dc215d	unclassified	0	0	0	0	4277	1
11c8a62d-4217-4eb1-91db-5141db26e55b	unclassified	0	0	0	0	620	1
117caf7c-2b30-4c15-961a-554d617d8a68	unclassified	0	0	0	0	4444	1
96e7382f-dd31-46ce-b955-0cb888f9161a	unclassified	0	0	0	0	4385	1
ddefdafa-830a-4955-9838-16d74cf2573f	unclassified	0	0	0	0	899	1
ac42aaa5-01a9-4074-b8a9-a52bf655e356	unclassified	0	0	0	0	325	1
f58b8997-3186-471e-a089-e2fd7eeeacb7	unclassified	0	0	0	0	254	1
6364881a-7690-4162-9204-d5fd6a8f3ff0	unclassified	0	0	0	0	1696	1
06a97aa7-0e13-47ee-983f-28b9a7da23fa	unclassified	0	0	0	0	391	1
7bf5977b-5373-44d1-ba81-39d1265ba580	unclassified	0	0	0	0	297	1
2b48c1f0-6009-4fa4-99f9-a6b34a3ad286	unclassified	0	0	0	0	4628	1
d87fb201-9441-41ea-bd8f-dcc21e828bf2	unclassified	0	0	0	0	745	1
f0b56914-59bc-42ee-81d2-a52a62b1d531	unclassified	0	0	0	0	311	1
be073af4-37ba-4a06-800c-87709781ae4a	unclassified	0	0	0	0	507	1
27e5fa18-efe4-4e70-a5be-796d2ca1debe	unclassified	0	0	0	0	1263	1
db441208-5505-4883-bb96-eb7830a838de	unclassified	0	0	0	0	281	1
869a2923-2aca-4eba-94d3-9f0125d14b7d	unclassified	0	0	0	0	1693	1
8f301d8d-04ae-40a0-8d81-3717bfdf07e4	unclassified	0	0	0	0	5084	1
f1e72d4f-1a6f-418f-9482-02b71e12c218	unclassified	0	0	0	0	3299	1
df618e76-4ecf-4fcb-825e-9a17e3a973e2	unclassified	0	0	0	0	592	1
9eeadbf7-8d9b-4859-8c7d-e3945c75dd51	unclassified	0	0	0	0	919	1
d3ebc3ce-6158-4785-ba4b-86ef32d45629	unclassified	0	0	0	0	373	1
fd3ae001-8bc2-4636-9b54-fe4700f1c3e8	unclassified	0	0	0	0	652	1
8b48da15-a362-42ca-8bc9-0593a7eb8fc1	unclassified	0	0	0	0	2011	1
830c9b3d-1e8c-4353-a4fa-915ec2215fe8	unclassified	0	0	0	0	180	1
10bb19a0-d55f-4aa7-b44f-3118c2304732	unclassified	0	0	0	0	379	1
1fa37684-6d3e-42ca-90ea-b4575cf45de5	unclassified	0	0	0	0	242	1
60f66666-b849-4ca3-bfa7-ee57a7589355	unclassified	0	0	0	0	1788	1
2a42f2ae-6852-4688-b66f-010badef979d	unclassified	0	0	0	0	528	1
eb0a42b2-8fdb-4551-ada6-5700481a2848	unclassified	0	0	0	0	380	1
1bd7d637-a9bd-4315-a32e-2a50fe26a119	unclassified	0	0	0	0	314	1
099de1fe-d6fc-4026-9806-2750735e4c80	unclassified	0	0	0	0	111	1
f471e4cb-2625-46ff-8eb3-25c43a830ccb	unclassified	0	0	0	0	438	1
8c398cb6-22b0-49a2-963e-cb063b92bf13	unclassified	0	0	0	0	302	1
2b13b554-a9fc-4201-b871-36e4935157c1	unclassified	0	0	0	0	515	1
3b010b64-853a-4074-886b-e140f19ddb3e	unclassified	0	0	0	0	758	1
cd56e7f0-0fe6-4056-b052-b1aa8dcccd68	unclassified	0	0	0	0	460	1
69cc35bd-a3a0-405e-9df4-d59a6382dbd2	unclassified	0	0	0	0	1797	1
e65ee79f-3fe7-4367-bdca-4bc810a431ee	unclassified	0	0	0	0	335	1
e435bb1b-0f86-4e72-9a57-566b13224ed3	unclassified	0	0	0	0	593	1
4d3998e5-1ce6-4817-b95e-a35c02e788a4	NC_089420.1	101201	64	0	23	2627	1
7aa64138-0cf6-470e-b0d7-8af8fa237233	unclassified	0	0	0	0	239	1
1a4984fe-d30e-4163-9b6a-3cbd6a477b3f	unclassified	0	0	0	0	328	1
a0b0bca5-76df-4aa4-bc92-fed38c56e7ea	unclassified	0	0	0	0	3649	1
8cf27986-7026-4a09-84d1-7818383329aa	unclassified	0	0	0	0	309	1
1349c9bc-09e2-4ea5-86a8-d72bd017d9f8	unclassified	0	0	0	0	2612	1
d2958d0a-fc59-4fe4-b125-b9efce45daa8	unclassified	0	0	0	0	2145	1
20f5bf50-89ae-4d43-9418-f35e9364ed36	unclassified	0	0	0	0	400	1
3bccb665-8a97-47ba-abce-d58e07b9a7b9	unclassified	0	0	0	0	4269	1
a24f8546-620f-482f-9aa5-296ab8277aa7	unclassified	0	0	0	0	1970	1
82994fe1-4a76-417a-b2b7-d768c46fad64	unclassified	0	0	0	0	1502	1
67b2e47c-faf8-43de-a577-14d801424d94	unclassified	0	0	0	0	793	1
f1973a81-9e96-450f-bfc8-191702f908bb	unclassified	0	0	0	0	1013	1
79b066d9-8785-4de9-b649-5e5e831a39bf	unclassified	0	0	0	0	1614	1
54f7ec39-8a65-44c8-acec-699080d2d0ba	unclassified	0	0	0	0	415	1
db300719-a832-472a-a416-55a5e01d55d0	unclassified	0	0	0	0	1282	1
99e73ec6-fd7d-4802-b911-d96d0e7a0625	unclassified	0	0	0	0	1572	1
b3c014f9-2651-4984-a791-e15d42d2adb5	unclassified	0	0	0	0	794	1
a7363e08-910b-4619-8a08-976d5b31944e	unclassified	0	0	0	0	233	1
