tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group
439863	Paliphora intermedia	Paliphora		Chaetosphaeriales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota			
2774019	Nocardioides donggukensis	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
429003	Streptomyces antibioticalis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
1849276	Nonomuraea purpurea	Nonomuraea	Streptosporangiaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
76947	Sphingobium herbicidovorans	Sphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota		Bacteria			
1484	Hydrogenibacillus schlegelii	Hydrogenibacillus	Bacillales Family X. Incertae Sedis	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
2315449	Yamadazyma tenuis	Yamadazyma	Debaryomycetaceae	Serinales	Pichiomycetes	Ascomycota	Opisthokonta	Eukaryota			
29396	Saccharococcus thermophilus	Saccharococcus	Bacillaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
1232584	Magnusiomyces tetraspermus	Magnusiomyces	Dipodascaceae	Dipodascales	Dipodascomycetes	Ascomycota	Opisthokonta	Eukaryota			
486270	Hymenobacter antarcticus	Hymenobacter	Hymenobacteraceae	Cytophagales	Cytophagia	Bacteroidota	FCB group	Bacteria			
1234544	Actinopolyspora lacussalsi	Actinopolyspora	Actinopolysporaceae	Actinopolysporales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			Actinopolyspora alba group
1737488	Motilimonas eburnea	Motilimonas		Alteromonadales	Gammaproteobacteria	Pseudomonadota		Bacteria			
563996	Sphingomonas hankookensis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota		Bacteria			
2747268	Dyadobacter sandarakinus	Dyadobacter	Spirosomataceae	Cytophagales	Cytophagia	Bacteroidota	FCB group	Bacteria			
45599	Metschnikowia torresii	Metschnikowia	Metschnikowiaceae	Serinales	Pichiomycetes	Ascomycota	Opisthokonta	Eukaryota			
329523	Streptomyces albiaxialis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
553636	Lysobacter korlensis	Lysobacter	Lysobacteraceae	Lysobacterales	Gammaproteobacteria	Pseudomonadota		Bacteria			
1915059	Delftia rhizosphaerae	Delftia	Comamonadaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota		Bacteria			
407964	Leifsonia lichenia	Leifsonia	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
100133	Sporobacterium olearium	Sporobacterium	Lachnospiraceae	Lachnospirales	Clostridia	Bacillota	Terrabacteria group	Bacteria			
2779354	Gemmiger gallinarum	Gemmiger		Eubacteriales	Clostridia	Bacillota	Terrabacteria group	Bacteria			
858349	Metarhizium viride	Metarhizium	Clavicipitaceae	Hypocreales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota			
124225	Brackiella oedipodis	Brackiella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota		Bacteria			
1436144	Moniliella madida	Moniliella	Moniliellaceae	Moniliellales	Moniliellomycetes	Basidiomycota	Opisthokonta	Eukaryota			
1852015	Albirhodobacter confluentis	Albirhodobacter	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota		Bacteria			
